Station_A,Station_B,Distance_KM,Electrified
BMT,NYP,2.2,false
BN,UR,6.9,false
BN,HÆ,7.4,false
BNT,RAM,3.9,false
BO,VY,7.2,true
BO,KY,6.9,true
BOA,FRA,6.349,true
BOA,MOY,2.654,true
BOF,GØR,2.2,false
BOF,SKV,2.2,false
BOR,RÖP,9.0,true
BOR,RYM,17.3,true
BOT,VAV,1.1,false
BOT,EL,2.1,false
BOY,RÖ,3.067,true
BOY,RD,4.414,true
BP,VN,7.8,true
BP,HQ,6.5,true
BP,HE,11.7,true
BP,BTP,10.4,true
BPAF,DN,172.81,false
BR,HN,16.6,false
BR,MU,7.2,false
BRE,ØRH,1.0,false
BRE,FGV,0.0,false
BRIN,ORY,9.275,true
BRL,SKBL,5.858,true
BRL,FDF,8.4,true
BRR,REJ,3.9,false
BRR,ÆK,4.7,false
BRY,HO,8.3,true
BRY,JØ,10.6,true
BS,SJ,10.2,false
BS,VFO,12.132,true
BS,SAE,10.111,true
BS,TD,7.7,false
BS,KNL,1.649,true
BSK,FVT,3.0,false
BSK,GØR,5.0,false
BSK,HI,4.8,false
BSPD,HMB,274.3,false
BTG,EKY,3.729,true
BTG,BYM,4.833,true
BTP,FUR,7.9,true
BU,HO,12.4,false
BU,VEM,6.0,false
BUK,HUL,3.5,false
BUK,ÅLB,4.7,false
BW,VIS,5.4,false
BW,DS,6.9,false
BX,LKN,8.172,true
BX,SMN,7.131,true
BYM,VGD,4.388,true
BZ,HUL,9.169,true
BZ,HVD,4.547,true
BÅA,CK,2.1,true
BÅA,GUA,2.103,true
BÅN,LAOV,9.8,true
BÅN,FÖR,10.5,true
BØG,KID,2.293,true
BØG,TOU,5.902,true
BØJ_HVN,FYN_HVN,0.0,false
CLL,LHE,0.0,false
CPH,TÅT,3.3,true
CPH,DRO,4.52,true
CR,KAP,4.3,true
CR,CR1,1.063,true
CR,CRGB,1.3,true
CR1,KAP,3.237,true
CRGB,KAP,4.124,true
CRGB,FKI,9.3,true
CST,FLB,15.3,true
CST,KE,2.1,true
D,MDM,17.8,true
D,MOT,21.2,true
DAT,E,4.3,true
DAT,Ö,3.6,true
DF,LLN,5.1,false
DF,LLM,4.2,false
DH,DN,54.3,false
DH,DSA,40.3,false
DIA,SKL,3.3,false
DIA,VED,3.0,false
DIS,DIÖ,0.539,true
DIS,ÄH,10.361,true
DIÖ,ERA,10.8,true
DIÖ,ÄH,10.9,true
DL,HLV,6.635,true
DL,MKL,9.761,true
DN,DSA,48.44,false
DN,UNL,9.5,false
DN,UI,9.5,false
DRE,VDI,4.312,true
DRE,TOF,6.667,true
DRJ_HVN,SVG_HST,0.0,false
DRJ_HVN,SKA_HVN,0.0,false
DRM,KIL,0.0,false
DRM,FIR,0.0,false
DRO,PHM,2.819,true
DS,ÆK,5.4,false
DSA,TDN,48.439,false
DSK,ØSF,2.0,false
DSK,MEL,1.9,false
DUG,HLG,3.9,false
DUG,KGG,2.1,false
DY,HNN,1.3,false
DY,SØT,1.9,false
DÖS,KG,7.8,true
DÖS,HÄP,7.9,true
E,MAR,10.236,true
E,SG,9.5,true
E,TP,14.9,true
EA,LAOV,10.8,true
EA,GND,2.94,true
EA,KST,7.4,true
EB,NA,5.3,true
EB,GD,4.6,true
EBL_HVN,ODD_HVN,0.0,false
ED,THN,94.1,false
ED,HLD,52.36,false
EG,MAL,1.389,false
EGØ,KJ,3.7,false
EGØ,VLØ,2.8,false
EH,SR,4.5,false
EH,SN,5.2,false
EK,TN,4.1,false
EK,ORY,9.74,true
EK,NF,10.1,false
EK,HUL,10.201,true
EK,NV,4.5,false
EKY,MÅP,5.623,true
EL,HYV,1.7,false
EM,ÖRS,16.079,true
EM,LO,23.0,true
EM,SRU,11.6,true
EM,VFA,10.8,true
EMM,LHE,1.5,false
EMM,HON,1.5,false
ER,FV,9.435,true
ER,ÖR,15.904,true
ERA,VS,11.4,true
ERK,ML,8.445,true
ERK,SKBL,2.92,true
ES,JNE,2.4,true
ES,SPA,1.9,false
ES,ESN,0.0,false
ESN,GJE,1.9,false
ESN,VTA,8.382,true
ESN,TJ,3.265,true
ESN,SPA,0.6,false
ES_HVN,NOR_HVN,0.0,false
ET,FOK,6.53,true
ET,SKRP,5.004,true
EV,FU,9.3,false
F,SS,14.552,true
F,FBY,13.87,true
F,VF,11.4,true
FA,SNO,4.3,true
FA,TL,8.6,true
FAA_HVN,LYØ_HVN,0.0,false
FAA_HVN,SØB_HVN,0.0,false
FABP,HE,11.1,true
FABP,TEO,5.8,true
FBY,KÆ,8.793,true
FD,SN,3.579,true
FD,NDV,7.288,true
FD,KRB,0.0,false
FD,LRT,2.9,false
FDL,SOE,3.941,true
FEB,FV,13.827,true
FEB,ÅLG,6.736,true
FFL,NOSK,3.591,true
FFL,FRA,6.084,true
FGL,MOT,10.236,true
FGL,SKN,7.843,true
FGV,LYL,0.0,false
FH,STB,8.3,false
FH,KV,9.5,false
FHV,HUL,10.0,false
FHV,SGB,1.7,false
FHV_HVN,STR_HVN,0.0,false
FH_HVN,LÆS_HVN,0.0,false
FI,KMS,13.585,true
FI,VØ,8.5,false
FI,GE,7.9,false
FI,NR,5.097,true
FIN,HM,4.95,true
FIN,TY,6.85,true
FIR,SØB,0.0,false
FJ,SO,6.8,true
FJ,RG,7.6,true
FJG,GLL,1.0,false
FJG,PPG,1.8,false
FKI,FKI1,1.0,true
FL,KG,8.6,true
FL,LMA,5.606,true
FL,SIE,4.207,true
FLB,SÖÖ,21.3,true
FLE,SDE,8.406,true
FLE,FSÖ,0.876,true
FLP,KGÅ,1.558,true
FLP,HJP,1.7,true
FLP,LU,3.1,true
FLS,VIM,11.576,true
FLU,TBN,5.518,true
FLU,UPH,4.82,true
FM,TH,11.073,true
FM,KRØB,2.381,true
FO,KØ,8.3,true
FO,SG,7.1,true
FOK,RKE,5.125,true
FP,RD,14.7,false
FP,HB,16.6,false
FRD,GP,7.364,true
FRD,RAS,7.052,true
FRE,RAM,5.3,false
FRE,TRE,11.0,true
FRE,NYB,2.722,true
FRE,SIT,2.2,false
FRE,KAS,25.491,true
FRE,SBO,15.21,false
FRE,RÅD,17.25,false
FRL,VFO,9.381,true
FRL,KIN,8.1,true
FRS,HJS,1.6,false
FRS,OSS,1.5,false
FRT,VA,1.5,false
FRT,VAV,0.9,false
FRV,HHF,1.4,false
FRV,LLK,2.8,false
FSB,MPB,1.882,true
FSB,STP,3.72,true
FSB,LRP,1.9,true
FSM_HVN,FST_HVN,0.0,false
FSÖ,MLÖ,5.796,true
FT,KE,6.4,false
FU,SL,6.1,false
FUD,SIE,1.972,true
FUD,KG,2.408,true
FUR,SARP,0.321,true
FUR,HD,2.3,true
FVJ,HVE,4.1,false
FVT,HI,1.8,false
FXL,FXS,5.5,false
FXS,TOK,3.5,false
FYN_HVN,SØB_HVN,0.0,false
FZ,SST,8.0,true
FZ,VM,5.0,true
FÅ,VRÖ,10.2,true
FÅ,ÅSA,5.6,true
FÅL,SDR,1.475,true
FÅL,RFT,10.08,true
FÖR,VIP,2.621,true
G,THN,81.6,false
G,OR,1.9,true
G,GRO,2.1,true
GAN,HBGB,6.639,true
GAN,VÅK,4.8,true
GB,NEL,1.4,true
GB,KH,3.2,true
GBM,OR,1.97,true
GCT,TRG,1.814,false
GCT,ØGT,0.6,false
GES,JL,9.4,false
GES,VJS,3.6,false
GG,GW,10.6,false
GG,JL,6.8,false
GHG,HOG,1.3,false
GHG,TVL,1.2,false
GI,LGM,9.178,true
GI,KMS,8.56,true
GJE,KJE,0.3,false
GJE,GU,0.0,false
GK,OR,2.868,true
GK,SVE,10.604,true
GL,HTÅ,8.3,true
GL,HIF,3.9,true
GLL,GLØ,0.9,false
GLV,RYÄ,2.8,true
GLV,LKÖ,8.3,true
GLØ,STÆ,0.0,false
GM,RÄP,5.8,true
GMP,VIM,3.089,true
GMP,N,3.37,true
GNB,KG,8.6,true
GNB,LU,2.7,true
GND,KNÄ,19.27,true
GNÖ,HTO,10.9,true
GNÖ,HET,13.3,true
GOP,VAG,18.417,true
GOP,HÅP,13.868,true
GP,TNS,9.279,true
GP,HR,6.3,false
GP,IB,3.3,false
GR,HSL,0.0,false
GR,TU,10.6,false
GRD,LH,2.463,true
GRD,LNS,9.162,true
GRG,ØTO,4.8,false
GRG,SX,8.8,false
GRH,VLØ,0.0,false
GRH,HMØ,0.0,false
GRM,HET,5.4,true
GRM,LME,13.9,true
GRO,LIS,1.1,true
GRS,SAG,2.0,false
GRS,GRÆ,1.1,false
GRT,HI,5.2,false
GRT,KRB,0.0,false
GRV,VIG,6.4,false
GRÆ,PPG,3.4,false
GRØ,MAR,0.0,false
GRØ,HG,0.0,false
GS,SEJ,4.3,false
GS,RBN,6.8,false
GSF,SKV,3.1,false
GSF,ØLS,2.0,false
GSK,HHU,0.0,true
GSL,SNG,5.1,false
GSL,HGT,2.9,false
GSS,SI,11.22,true
GSS,SMP,4.238,true
GST,SDB,16.3,true
GST,KW,15.0,true
GSV,SÆV,0.4,true
GSV,OR,1.97,true
GT,N,10.87,true
GT,HD,3.5,false
GT,ROF,5.8,false
GU,KJE,2.9,false
GU,VKA,9.1,false
GUA,SPJ,13.98,true
GUA,NÄT,7.926,true
GW,TY,7.9,false
GZ,NÆ,14.8,true
GZ,RG,12.0,true
GÅ,TR,5.5,false
GÅ,ØG,5.1,false
GÅP,MO,6.83,true
GÅS,STE,5.7,false
GÅS,RD,1.0,false
GÆ,SQ,2.7,true
GÆ,HUM,3.7,true
GØ,HQ,7.4,true
GØG,KGG,1.5,false
GØG,SPG,0.0,false
HA,LG,13.2,false
HA,HN,9.3,false
HAA,VB,6.8,true
HAA,TYE,9.5,true
HB,HBGB,2.9,true
HB,MIA,4.7,true
HBGB,ÄTK,4.0,true
HBGB,RYÄ,7.685,true
HBS,NDT,3.6,false
HBS,SLT,1.5,false
HBØ,RØN,4.3,false
HBØ,VRI,3.2,false
HC,VI,4.8,false
HC,HX,4.8,false
HD,HDR,1.1,true
HD,LW,3.9,false
HDR,KST,3.6,true
HE,TM,5.7,false
HE,UNL,104.4,false
HE,UI,104.4,false
HE,RJ,6.5,false
HE,PH,1.8,false
HEB,SG,6.2,false
HEB,LE,3.9,false
HEB,ØN,6.6,false
HED,HS,16.3,false
HED,VJ,15.1,false
HEL,HØP,0.0,false
HF,HUD,1.883,true
HF,KJ,5.5,true
HF,TH,6.4,true
HG,SQ,3.5,true
HGL,SO,0.82,true
HGL,HL,2.6,true
HGL,KK,2.1,true
HGP,TGV,1.6,false
HGP,VLH,0.8,false
HGT,MÅ,2.6,false
HGT,SHT,6.5,false
HGT,MÅRSØ,0.0,false
HH,TRK,4.0,true
HH,HTÅ,4.7,true
HHF,MEL,2.8,false
HHS,LHE,1.2,false
HHU,KLH,0.0,true
HI,SPG,1.6,false
HIE,STP,4.6,true
HIE,LNK,4.713,true
HIE,TRI,3.92,true
HIF,VAL,3.4,true
HIF,IG,2.1,true
HIL,LME,17.9,true
HJ,VR,11.9,false
HJ,HJØ,2.7,false
HJ,KT,0.5,false
HJP,ÅKN,2.0,true
HJP,ÅK,2.5,true
HJS,HØS,4.1,false
HJØ,SA,10.9,false
HK,PE,5.9,true
HK,RT,8.1,false
HK,SHT,1.3,false
HKA,TH,9.564,true
HKA,JØ,6.531,true
HL,KL,5.5,true
HLD,SBO,27.17,false
HLG,TBA,2.2,false
HLP,ÖDA,6.621,true
HLP,KA,2.766,true
HLV,RBH,5.274,true
HM,MUD,8.7,true
HM,HO,8.5,false
HM,MLB,9.6,true
HM,HM2,1.5,true
HM,SGS,7.1,false
HM,STR,7.0,false
HMÖ,VFA,14.2,true
HMÖ,SPJ,13.3,true
HMØ,HRL,2.5,false
HN,MU,9.4,false
HNK,HSA,0.0,false
HNK,KAB,0.0,false
HNN,OVT,2.7,false
HNÄ,MLÖ,8.282,true
HO,SGS,1.4,false
HO,TS,9.5,false
HOG,VEJ,1.2,false
HOK,VGD,8.328,true
HOK,HOKØ,0.927,true
HOKØ,MBÆ,15.417,true
HON,TNB,3.2,false
HOU_HVN,SÆL_HVN,0.0,false
HP,TP,6.6,true
HP,OD,8.6,true
HPBG,SKMS,7.7,true
HPBG,HRBG,3.096,true
HPBG,ÖR,24.0,true
HR,KÆ,11.243,true
HR,VGÅ,13.764,true
HR,LJU,11.25,true
HR,KE,10.0,false
HR,HRM,2.5,false
HR,VED,10.758,true
HRBG,SKMS,7.667,true
HRE,JÄY,10.544,true
HRL,KVH,10.902,true
HRL,V,8.265,true
HRL,VAP,3.4,false
HRL,LLI,0.0,false
HRM,STU,6.2,false
HS,HÅ,14.5,false
HSA,KIL,0.0,false
HSL,TU,0.0,false
HST,OKS,0.9,false
HT,LPT,1.5,false
HT,ØDS,2.9,false
HTO,V,17.3,true
HU,IK,6.1,false
HUD,SID,5.97,true
HUH,HUN,0.0,false
HUM,NI,3.8,true
HUN,VIF,1.9,false
HV,MUD,9.7,true
HV,LJ,7.5,true
HV,O,11.3,true
HV,TØ,6.3,true
HVD,IGT,4.486,true
HVE,SNG,3.9,false
HVP,ÅRD,11.573,true
HVP,LO,9.1,true
HVS,NHR,3.675,true
HVS,JØGB,4.848,true
HW,UL,5.2,false
HW,LN,5.0,false
HX,SD,8.5,false
HYL,LIA,4.77,true
HYL,KL,9.97,true
HYV,JAD,1.6,false
HZ,TH,8.8,true
HZ,OL,10.9,true
HÄP,LKÖ,4.0,true
HÄP,LKÖ1,2.1,true
HÄY,MYK,11.658,true
HÄY,HÅS,9.128,true
HÅ,SD,14.1,false
HÅL,SKRP,4.333,true
HÅP,VAA,5.805,true
HÅS,RD,7.422,true
HÆ,SNE,5.4,false
HÖ,TÖ,9.3,true
HÖ,SG,10.2,true
HØ,SM,7.9,false
HØ,SK,5.6,false
HØP,MAR,0.0,false
HØS,ÅS,3.9,false
IB,ID,6.3,false
ID,UU,7.6,false
IG,NEL,1.6,true
IGT,VLN,4.058,true
IS,TR,5.9,false
IS,VNO,6.3,false
J,JV,1.131,true
JBK,ÅLG,5.274,true
JEG,SØT,2.3,false
JEG,VRØ,1.3,false
JEU,RIM,3.5,false
JEU,NAP,2.6,false
JN,NK,56.724,true
JN,K,85.9,true
JN,SÖÖ,11.4,true
JNE,TB,5.9,true
JSF,KIB,11.1,true
JSF,KJN,2.5,true
JU,UV,4.9,true
JU,NG,5.0,true
JV,P,4.491,true
JY,MØ,6.6,false
JY,SE,7.7,false
JÄY,VDI,2.338,true
JÆT,NØV,0.0,false
JØ,RKØ,2.394,true
JØGB,RKØ,2.045,true
K,STÖ,11.432,true
K,SPN,8.042,true
KA,ÖDA,4.8,true
KA,NA,4.2,true
KA,MD,6.1,true
KA,KA1,1.0,true
KA,VH,7.6,true
KA1,ÖDA,3.799,true
KAB,SAU,0.0,false
KAC,KAS,1.8,true
KAP,ÖND,5.8,true
KAS,SDY,6.5,true
KB,LEK,12.8,true
KB,KHE,2.8,true
KB,KBØ,2.0,false
KB_HVN,KOL_HVN,0.0,false
KBÄ,SSH,7.943,true
KBÄ,VÅ,19.231,true
KBØ,VÆ,5.8,false
KD,TP,15.5,true
KD,SAL,10.1,true
KD,LK,12.9,true
KD,TL,11.3,true
KDE,STH,8.656,true
KDE,YB,10.828,true
KE,SO,3.075,true
KEK,TØ,4.3,false
KEK,SMS,4.9,false
KG,TP,9.3,true
KGG,MMG,5.1,false
KGS,ØVB,5.108,true
KGS,TNU,10.09,true
KGV,VI,1.7,false
KGVN,VIJ,1.838,false
KGÅ,LU,1.804,false
KH,KN,1.5,true
KH,VAL,3.9,true
KH,VRU,6.1,true
KH,ÅMN,9.623,true
KH,KH1,2.1,true
KH1,VRU,4.0,true
KHE,LGD,1.8,true
KID,LRD,11.623,true
KJ,ØLB,2.7,true
KJN,LEL,4.3,true
KJN,ØLB,2.2,true
KJ_HVN,RNN_HVN,0.0,false
KK,KN,1.6,true
KL,KVI,5.18,true
KL,SÅ,5.5,true
KLH,LIB,0.0,true
KLI,NET,0.0,false
KLP,VAP,0.0,false
KLP,STH,5.6,false
KLV,ØRE,2.1,true
KLV,NEL,3.2,true
KNL,NOSK,1.909,true
KNÄ,MRD,19.83,true
KO,RÅ,6.0,false
KO,TU,12.1,false
KP,VÅ,34.6,true
KPM,ML,7.952,true
KPM,ÅNM,12.773,true
KR,ÄH,8.9,true
KR,TUN,2.3,true
KRD,MDN,5.6,true
KRD,LDO,4.8,true
KRF,LLK,1.5,false
KRF,ØLS,2.2,false
KRI,TOK,3.4,false
KRI,LLI,0.0,false
KRØB,ÆNG,4.902,true
KS,MØ,3.5,false
KS,RT,4.2,false
KSU,SSH,5.549,true
KSU,KSUS,1.118,true
KSUS,RKE,3.047,true
KT,TGV,1.1,false
KV,TO,6.4,false
KVH,SYD,8.614,true
KVI,KÄB,3.79,true
KVS,STS,5.4,false
KVS,RUS,3.1,false
KW,TE,9.9,true
KY,RG,7.3,true
KÄB,ÅP,2.42,true
KÅ,LRT,3.4,false
KÅ,MØT,2.3,false
KÆ,TD,8.3,false
KÆ,STU,7.8,false
KÖP,Y,7.899,true
KÖP,TLI,11.427,true
KØ,SPR,11.9,true
LA,RY,5.3,false
LA,SV,5.6,false
LE,ØN,2.7,false
LEK,ÅSA,4.9,true
LG,STE,6.7,false
LG,UP,7.2,false
LG,RD,13.4,false
LGH,VID,0.699,false
LGH,VLH,2.2,false
LGM,LP,10.016,true
LH,RK,6.556,true
LIA,PT,2.13,true
LIB,LTE,0.0,true
LIB,LSK,0.0,true
LIH,SU,12.0,false
LJ,UØ,18.062,true
LJ,SVG,9.491,true
LJ,RO,9.5,true
LJU,TOP,5.332,true
LK,VM,6.0,true
LK,VN,11.6,true
LKN,MY,8.353,true
LKÖ,LKÖ1,1.899,true
LLM,LLS,7.5,false
LLN,NFV,7.2,false
LLS,RFØ,8.1,false
LM,RJ,12.2,false
LM,SJ,11.4,false
LMM,SEA,8.603,true
LMM,SRP,8.696,true
LN,YD,8.2,false
LNK,STP,6.231,true
LNK,PHM,10.843,true
LNS,MO,7.815,true
LO,SRU,11.4,true
LP,NYE,0.0,true
LP,VSD,11.614,true
LP,LPT,1.3,false
LP,TOV,4.6,false
LR,SN,3.476,true
LRD,SPH,8.361,true
LRP,STP,2.702,true
LRP,VID,7.73,true
LRP,OX,3.9,true
LT,ØDS,1.8,false
LT,OS,5.7,false
LTE,NYE,0.0,true
LU,VO,11.4,true
LU,MOG,7.5,true
LU,THL,3.9,true
LUJ,NBL,5.4,false
LUJ,LØT,3.1,false
LUP,TLI,6.148,true
LUP,SMP,4.959,true
LV,MV,4.4,true
LV,UV,5.1,true
LW,ØLB,4.2,false
LYL,NØV,0.0,false
LÖN,MND,11.415,true
LÖN,SIC,1.75,true
LØT,OVT,1.4,false
M,TRI,2.475,true
M,MGB,3.0,true
M,ØVN,2.009,true
M,ÖVN,0.0,true
MAR,TP,4.65,true
MBÆ,SOE,6.742,true
MD,SNO,5.9,true
MDM,SKMS,22.1,true
MDÖ,MYK,6.12,true
MGB,ØVN,1.1,true
MGB,ÖVN,1.1,true
MH,VÆ,11.658,true
MH,T,12.149,true
MIA,ÖDA,4.1,true
MKL,UV,20.98,true
MLB,SÖLA,5.625,true
MMG,SAG,2.9,false
MN,VO,3.8,false
MN,OH,5.4,false
MND,VLN,7.147,true
MOG,NÆ,8.5,true
MOS,SKI,33.51,false
MOS,RYG,9.06,false
MOY,TOP,3.876,true
MPB,ØVN,3.254,true
MPB,ÖVN,3.3,true
MPB,ROG,0.0,true
MPK,NRV,2.3,false
MPK,MST,0.693,false
MR,TG,0.0,false
MR,OS,5.8,false
MR,RÅ,9.5,false
MRB,RYD,8.5,false
MRB,SX,9.0,false
MRD,VSJ,14.209,true
MRU,SAK,8.3,true
MRU,VRU,2.8,true
MST,VH,0.967,false
MT,MY,9.432,true
MT,VSD,11.302,true
MU,SM,11.8,true
MV,OD,9.3,true
MY,SKN,9.104,true
MÅ,SHT,3.8,false
MÅP,TAG,3.204,true
MÅRSØ,SHT,0.0,false
MÖR,PÅA,4.92,true
MØT,SQ,3.4,false
NAM,VIG,4.4,false
NAM,SLT,1.8,false
NAP,ÅLB,4.2,false
NDT,NKS,1.3,false
NDV,NS,0.448,true
NEH,OPA,0.0,true
NEH,VTÅ,0.0,true
NET,STA,1.7,false
NF,TN,6.0,false
NF,VØ,6.6,false
NF,NFV,2.2,false
NFV,RFØ,32.21,false
NFV,ØTO,1.2,false
NG,SPR,11.4,true
NHR,TAG,3.678,true
NI,OK,3.4,true
NO,UM,5.5,false
NO,UL,4.3,false
NOL,NØES,4.253,true
NOL,ÆN,5.735,true
NR,ÅBS,7.799,true
NRV,TRG,1.186,false
NS,VBD,3.597,true
NSM_HVN,NST_HVN,0.0,false
NV,OH,5.0,false
NYB,ÖRS,11.351,true
NYG,ÆLR,4.54,true
NYG,TBN,2.762,true
NYP,STL,3.9,false
NÄT,RB,17.7,true
NÆ,NÆN,3.1,true
NÆN,OL,4.3,true
NÆR,RVH,0.0,false
O,TUN,10.1,true
O,O1,1.8,true
O1,TUN,8.3,true
OD,OSS,3.8,false
ODD,PV,0.586,false
OG,SN,4.8,false
OJ,SST,7.4,true
OJ,RQ,20.4,true
OK,RU,3.0,true
OM,SARP,16.056,true
OM,TOU,20.478,true
OSL,SKI,26.72,false
OX,SAÖ,3.795,true
P,SEL,2.499,true
PA,VK,6.8,true
PA,PAGR,1.0,true
PDS,RE,5.0,false
PDS,ÅS,2.5,false
PE,TØ,6.6,true
PER,ØS,1.7,false
PER,VSA,2.2,false
PH,THE,1.8,false
PT,VTO,7.07,true
PU,RF,0.0,false
PV,RUH,0.745,false
PÅA,ÄTK,2.45,true
RA,SP,4.3,false
RA,SM,9.4,false
RA,VG,7.4,false
RB,VD,6.7,false
RB,RBN,1.4,false
RBH,TNU,17.011,true
RDG,SRP,5.854,true
RDG,STH,6.5,false
RDG,RYE,5.449,true
RE,RUS,4.7,false
REJ,VD,4.7,false
RF,RFØ,2.0,false
RH,VIJ,0.962,false
RH,ØGT,0.9,false
RI,TI,6.6,false
RI,SNE,7.8,false
RIM,STB,5.8,false
RK,SY,8.908,true
